region_id,total_transactions
299.0,46339
181.0,13863
123.0,16110
502.0,837
126.0,15249
226.0,4869
420.0,3589
204.0,42035
325.0,42753
251.0,5220
472.0,8480
315.0,23086
485.0,6816
330.0,26303
220.0,5041
191.0,14990
494.0,5065
512.0,8268
158.0,1562
264.0,39876
203.0,3811
498.0,4744
433.0,7831
110.0,3223
448.0,925
194.0,1572
143.0,9810
184.0,15168
272.0,20143
343.0,1734
225.0,5325
444.0,2033
476.0,9480
327.0,8438
441.0,20834
428.0,1429
177.0,4674
310.0,8486
337.0,15150
387.0,8188
170.0,2003
436.0,3172
384.0,1671
205.0,5725
122.0,1617
231.0,7606
269.0,6404
469.0,2940
324.0,2173
295.0,4
308.0,1283
253.0,1058
492.0,987
224.0,2
418.0,101
157.0,170
536.0,310
296.0,367
491.0,7
161.0,422
347.0,1
154.0,13
511.0,157
508.0,70
496.0,7
142.0,16
465.0,503
106.0,20
152.0,7
500.0,2
274.0,2
130.0,342
331.0,1
486.0,54
242.0,84
221.0,8
216.0,54
431.0,38
531.0,1
304.0,2
399.0,5
164.0,1
375.0,22
483.0,23
456.0,3
218.0,6
403.0,3
409.0,9
477.0,3
499.0,26
100.0,26
258.0,38
148.0,96
371.0,8
332.0,19
520.0,26
167.0,57
261.0,1
404.0,8
391.0,35
505.0,1
432.0,38
504.0,10
346.0,10
359.0,18
171.0,12
425.0,1
374.0,14
365.0,1
141.0,2
132.0,1
352.0,1
183.0,1
128.0,1
523.0,3
411.0,14
454.0,2
129.0,1
521.0,6
239.0,31
478.0,9
210.0,7
305.0,9
335.0,1
452.0,8
198.0,3
366.0,7
333.0,1
193.0,3
443.0,23
393.0,10
427.0,1
540.0,6
127.0,1
278.0,1
102.0,13
506.0,1
468.0,2
185.0,1
459.0,7
213.0,1
190.0,1
501.0,4
211.0,1
145.0,3
119.0,3
529.0,7
254.0,68
270.0,3
328.0,1
356.0,91
451.0,1
312.0,1
313.0,1
283.0,1
139.0,1
146.0,2
430.0,5
233.0,1
530.0,1
241.0,1
453.0,21
339.0,2
535.0,2
386.0,1
395.0,1
162.0,1
408.0,5
131.0,1
372.0,2
464.0,1
482.0,6
306.0,1
470.0,2
406.0,2
326.0,1
503.0,1
488.0,1
514.0,3
298.0,1
172.0,3
402.0,1
290.0,2
244.0,1
111.0,2
144.0,3
338.0,1
385.0,4
401.0,1
234.0,1
133.0,1
467.0,1
112.0,2
260.0,6
314.0,3
426.0,32
527.0,4
493.0,1
248.0,1
199.0,13
252.0,2
178.0,1
249.0,1
348.0,87
153.0,1
189.0,1
382.0,1
345.0,4
235.0,1
462.0,1
300.0,6
200.0,1
516.0,1
445.0,6
168.0,3
137.0,1
101.0,1
513.0,2
351.0,2
117.0,1
214.0,2
323.0,1
159.0,5
360.0,4
163.0,1
217.0,1
466.0,2
329.0,1
257.0,1
400.0,1
518.0,2
434.0,1
243.0,1
410.0,43
379.0,2
180.0,1
187.0,1
297.0,8
519.0,1
302.0,1
341.0,3
201.0,3
526.0,1
474.0,4
307.0,4
292.0,1
389.0,1
349.0,5
528.0,2
120.0,1
262.0,1
397.0,1
280.0,1
439.0,2
416.0,1
236.0,3
219.0,1
353.0,1
471.0,2
450.0,1
156.0,1
489.0,1
134.0,11
275.0,18
479.0,13
515.0,2
277.0,3
265.0,4
294.0,3
463.0,1
182.0,1
522.0,1
368.0,1
276.0,5
301.0,3
376.0,1
232.0,1
435.0,11
104.0,8
247.0,7
202.0,5
373.0,2
309.0,1
381.0,2
340.0,1
259.0,3
369.0,3
255.0,1
250.0,3
105.0,3
282.0,1
160.0,2
208.0,2
227.0,1
125.0,4
390.0,1
174.0,2
429.0,3
509.0,3
321.0,2
284.0,775
322.0,3
166.0,1
303.0,2
215.0,2
458.0,1
155.0,18
316.0,1
196.0,1
446.0,1
279.0,1
396.0,2
358.0,1
195.0,1
361.0,1
417.0,1
223.0,1
151.0,1
377.0,1
124.0,1
113.0,1
206.0,1
238.0,1
237.0,1
517.0,2
481.0,1
318.0,1
286.0,2
507.0,4
457.0,1
268.0,1
245.0,1
