card_id,customer_id,card_network,card_type,card1,card2,card3,card4,card5,card6
C06075-K1,C06075,american express,credit,22563,399.0,150.0,american express,236.0,credit
C07096-K2,C07096,mastercard,debit,16104,111.0,150.0,mastercard,224.0,debit
C11919-K2,C11919,mastercard,credit,22374,500.0,185.0,mastercard,219.0,credit
C07867-K2,C07867,mastercard,debit,22006,225.0,150.0,mastercard,224.0,debit
C06743-K1,C06743,mastercard,debit,11109,225.0,150.0,mastercard,224.0,debit
C10193-K2,C10193,visa,debit,23517,414.0,143.0,visa,226.0,debit
C11923-K2,C11923,visa,debit,21363,545.0,185.0,visa,138.0,debit
C08925-K1,C08925,mastercard,debit,19410,314.0,150.0,mastercard,224.0,debit
C09301-K2,C09301,mastercard,debit,18358,481.0,150.0,mastercard,224.0,debit
C03218-K2,C03218,visa,debit,16435,321.0,150.0,visa,226.0,debit
C08945-K2,C08945,visa,debit,20806,321.0,150.0,visa,226.0,debit
C06598-K1,C06598,visa,credit,14147,545.0,185.0,visa,147.0,credit
C08662-K1,C08662,visa,debit,13199,512.0,150.0,visa,226.0,debit
C11709-K2,C11709,mastercard,debit,17830,567.0,150.0,mastercard,117.0,debit
C07648-K2,C07648,visa,debit,17784,361.0,150.0,visa,226.0,debit
C03575-K2,C03575,visa,debit,15916,361.0,150.0,visa,226.0,debit
C03847-K1,C03847,mastercard,debit,14534,390.0,150.0,mastercard,224.0,debit
C10234-K1,C10234,visa,debit,15908,111.0,150.0,visa,195.0,debit
C09711-K1,C09711,visa,debit,12010,383.0,150.0,visa,226.0,debit
C09339-K1,C09339,visa,debit,18454,321.0,150.0,visa,166.0,debit
C03622-K1,C03622,visa,credit,14796,302.0,150.0,visa,195.0,credit
C05704-K2,C05704,visa,credit,13610,170.0,150.0,visa,226.0,credit
C09947-K1,C09947,mastercard,debit,15469,514.0,150.0,mastercard,224.0,debit
C05283-K1,C05283,visa,debit,10660,276.0,150.0,visa,226.0,debit
C12942-K2,C12942,visa,credit,17736,264.0,150.0,visa,162.0,credit
C01109-K2,C01109,visa,debit,23029,111.0,150.0,visa,226.0,debit
C09363-K2,C09363,visa,debit,18494,111.0,150.0,visa,226.0,debit
C01525-K2,C01525,visa,debit,22351,440.0,185.0,visa,138.0,debit
C01909-K2,C01909,visa,debit,11371,512.0,150.0,visa,226.0,debit
C10906-K1,C10906,visa,debit,22432,553.0,150.0,visa,226.0,debit
C12593-K1,C12593,visa,debit,16493,111.0,150.0,visa,195.0,debit
C12961-K2,C12961,visa,credit,16482,321.0,150.0,visa,226.0,credit
C03363-K2,C03363,mastercard,debit,15663,455.0,150.0,mastercard,126.0,debit
C02354-K2,C02354,visa,debit,19248,490.0,150.0,visa,226.0,debit
C10745-K1,C10745,visa,debit,11841,298.0,150.0,visa,226.0,debit
C04108-K2,C04108,mastercard,credit,17011,514.0,150.0,mastercard,219.0,credit
C07870-K2,C07870,mastercard,debit,14350,572.0,150.0,mastercard,224.0,debit
C10333-K1,C10333,mastercard,debit,19600,111.0,150.0,mastercard,224.0,debit
C13171-K2,C13171,visa,credit,10114,545.0,185.0,visa,102.0,credit
C02231-K1,C02231,discover,credit,14089,327.0,150.0,discover,223.0,credit
C05362-K1,C05362,mastercard,credit,22755,111.0,150.0,mastercard,219.0,credit
C04960-K1,C04960,visa,debit,13611,388.0,150.0,visa,226.0,debit
C11000-K2,C11000,mastercard,credit,16535,514.0,150.0,mastercard,102.0,credit
C10679-K1,C10679,visa,debit,12570,263.0,150.0,visa,226.0,debit
C01953-K2,C01953,visa,debit,15887,479.0,150.0,visa,226.0,debit
C09221-K2,C09221,visa,debit,14718,318.0,150.0,visa,166.0,debit
C12758-K1,C12758,visa,credit,11453,555.0,150.0,visa,226.0,credit
C08924-K1,C08924,visa,credit,19392,304.0,146.0,visa,226.0,credit
C11625-K1,C11625,mastercard,debit,13191,215.0,150.0,mastercard,166.0,debit
C04105-K2,C04105,visa,debit,10533,174.0,150.0,visa,226.0,debit
C00750-K2,C00750,discover,credit,16300,327.0,150.0,discover,102.0,credit
C09486-K1,C09486,visa,debit,10517,150.0,150.0,visa,226.0,debit
C04597-K2,C04597,mastercard,debit,22904,375.0,185.0,mastercard,224.0,debit
C12517-K2,C12517,visa,debit,21703,490.0,150.0,visa,226.0,debit
C05854-K1,C05854,visa,debit,12833,600.0,150.0,visa,226.0,debit
C03230-K1,C03230,mastercard,debit,19707,225.0,150.0,mastercard,117.0,debit
C12136-K2,C12136,visa,credit,22941,321.0,150.0,visa,226.0,credit
C06872-K2,C06872,mastercard,debit,20698,555.0,147.0,mastercard,126.0,debit
C06248-K1,C06248,mastercard,debit,22862,310.0,150.0,mastercard,224.0,debit
C12094-K2,C12094,visa,debit,13556,215.0,150.0,visa,226.0,debit
C05312-K2,C05312,visa,debit,17519,,150.0,visa,166.0,debit
C08742-K1,C08742,visa,debit,15600,432.0,150.0,visa,226.0,debit
C09276-K1,C09276,visa,debit,18632,555.0,150.0,visa,226.0,debit
C12234-K1,C12234,visa,debit,12525,270.0,150.0,visa,166.0,debit
C08842-K2,C08842,visa,debit,10709,490.0,150.0,visa,226.0,debit
C07505-K1,C07505,visa,debit,13515,492.0,150.0,visa,226.0,debit
C13001-K1,C13001,visa,debit,21040,490.0,150.0,visa,226.0,debit
C08037-K1,C08037,visa,debit,11757,191.0,150.0,visa,226.0,debit
C09936-K1,C09936,visa,debit,17912,555.0,150.0,visa,226.0,debit
C00259-K1,C00259,visa,credit,15620,545.0,185.0,visa,226.0,credit
C12863-K1,C12863,mastercard,debit,14674,543.0,150.0,mastercard,224.0,debit
C08841-K1,C08841,mastercard,debit,17283,393.0,150.0,mastercard,117.0,debit
C02515-K2,C02515,visa,debit,23330,599.0,150.0,visa,166.0,debit
C08605-K1,C08605,mastercard,debit,12520,369.0,150.0,mastercard,224.0,debit
C09998-K1,C09998,visa,debit,14251,429.0,150.0,visa,226.0,debit
C05560-K2,C05560,visa,credit,12382,583.0,150.0,visa,195.0,credit
C01828-K2,C01828,visa,debit,22413,268.0,150.0,visa,166.0,debit
C09872-K1,C09872,visa,credit,22474,481.0,150.0,visa,226.0,credit
C09253-K1,C09253,mastercard,debit,23354,310.0,150.0,mastercard,224.0,debit
C08391-K2,C08391,mastercard,debit,13027,375.0,185.0,mastercard,224.0,debit
C01048-K1,C01048,visa,debit,20446,555.0,150.0,visa,166.0,debit
C03047-K2,C03047,visa,debit,23232,174.0,150.0,visa,226.0,debit
C00272-K1,C00272,visa,debit,18799,555.0,150.0,visa,226.0,debit
C06791-K1,C06791,visa,debit,20646,,150.0,visa,166.0,debit
C10656-K1,C10656,mastercard,debit,20080,555.0,150.0,mastercard,117.0,debit
C09405-K1,C09405,mastercard,credit,14447,111.0,150.0,mastercard,219.0,credit
C05622-K1,C05622,visa,debit,18228,571.0,150.0,visa,226.0,debit
C03277-K1,C03277,visa,credit,16376,181.0,150.0,visa,141.0,credit
C11464-K2,C11464,visa,debit,15326,111.0,150.0,visa,226.0,debit
C07212-K2,C07212,visa,credit,15876,514.0,150.0,visa,226.0,credit
C02250-K2,C02250,mastercard,credit,20397,514.0,150.0,mastercard,224.0,credit
C05689-K2,C05689,mastercard,debit,21174,269.0,150.0,mastercard,224.0,debit
C01154-K1,C01154,visa,credit,18031,529.0,150.0,visa,162.0,credit
C02331-K1,C02331,visa,credit,21097,433.0,150.0,visa,226.0,credit
C10755-K1,C10755,visa,credit,14761,170.0,150.0,visa,195.0,credit
C05078-K1,C05078,visa,debit,16144,417.0,150.0,visa,226.0,debit
C11227-K2,C11227,visa,credit,22902,100.0,150.0,visa,226.0,credit
C02342-K1,C02342,visa,debit,13321,453.0,150.0,visa,226.0,debit
C12907-K1,C12907,mastercard,debit,20787,194.0,150.0,mastercard,166.0,debit
C05996-K2,C05996,mastercard,debit,18478,266.0,185.0,mastercard,224.0,debit
C08027-K1,C08027,mastercard,debit,12346,452.0,150.0,mastercard,117.0,debit
C06055-K1,C06055,mastercard,debit,17443,420.0,150.0,mastercard,117.0,debit
C12682-K1,C12682,mastercard,credit,11561,561.0,150.0,mastercard,224.0,credit
C10270-K1,C10270,visa,debit,12537,555.0,150.0,visa,166.0,debit
C12598-K2,C12598,visa,debit,23089,111.0,150.0,visa,226.0,debit
C12982-K1,C12982,visa,credit,13095,490.0,150.0,visa,,credit
C06147-K2,C06147,visa,debit,11520,476.0,150.0,visa,166.0,debit
C13440-K2,C13440,mastercard,debit,22914,194.0,150.0,mastercard,202.0,debit
C03351-K2,C03351,mastercard,credit,12971,481.0,150.0,mastercard,102.0,credit
C12722-K1,C12722,visa,credit,15052,361.0,150.0,visa,226.0,credit
C04361-K2,C04361,visa,debit,20009,490.0,150.0,visa,195.0,debit
C00614-K2,C00614,visa,debit,18618,297.0,150.0,visa,166.0,debit
C10867-K1,C10867,visa,debit,22461,558.0,150.0,visa,226.0,debit
C10852-K1,C10852,mastercard,credit,22583,562.0,150.0,mastercard,102.0,credit
C06885-K1,C06885,mastercard,debit,20892,514.0,150.0,mastercard,224.0,debit
C06811-K1,C06811,mastercard,debit,14469,392.0,150.0,mastercard,117.0,debit
C09671-K1,C09671,mastercard,credit,12303,161.0,150.0,mastercard,219.0,credit
C07033-K1,C07033,visa,debit,10099,490.0,150.0,visa,226.0,debit
