customer_id,total_cards,first_seen,home_region,total_txns
C06075,1,2016-07-02 00:02:21,,15
C07096,2,2016-07-02 00:02:41,191.0,407
C11919,2,2016-07-02 00:03:07,110.0,974
C07867,2,2016-07-02 00:04:48,123.0,3166
C06743,1,2016-07-02 00:04:48,123.0,33
C10193,2,2016-07-02 00:05:52,502.0,348
C11923,2,2016-07-02 00:06:21,,10361
C08925,1,2016-07-02 00:06:45,299.0,296
C09301,2,2016-07-02 00:07:33,325.0,3006
C03218,2,2016-07-02 00:07:50,299.0,10344
C08945,2,2016-07-02 00:08:25,220.0,3490
C06598,1,2016-07-02 00:10:07,,74
C08662,1,2016-07-02 00:11:35,123.0,592
C11709,2,2016-07-02 00:13:36,204.0,4209
C07648,2,2016-07-02 00:16:50,325.0,3693
C03575,2,2016-07-02 00:19:39,325.0,1998
C03847,1,2016-07-02 00:20:40,251.0,5
C10234,2,2016-07-02 00:21:16,472.0,20
C09711,1,2016-07-02 00:22:20,498.0,168
C09339,1,2016-07-02 00:23:39,485.0,23
C03622,1,2016-07-02 00:24:04,485.0,31
C05704,2,2016-07-02 00:24:29,325.0,2988
C09947,1,2016-07-02 00:25:34,204.0,151
C05283,1,2016-07-02 00:26:06,191.0,190
C12942,2,2016-07-02 00:28:15,299.0,1364
C01109,2,2016-07-02 00:33:07,299.0,3929
C09363,2,2016-07-02 00:33:17,325.0,2428
C01525,2,2016-07-02 00:33:24,,326
C01909,2,2016-07-02 00:34:43,299.0,2038
C10906,1,2016-07-02 00:35:03,512.0,514
C12593,2,2016-07-02 00:35:22,325.0,156
C12961,2,2016-07-02 00:37:18,299.0,1799
C03363,2,2016-07-02 00:38:09,264.0,1257
C02354,2,2016-07-02 00:39:20,325.0,7091
C10745,1,2016-07-02 00:39:41,203.0,296
C04108,2,2016-07-02 00:40:12,204.0,2506
C07870,2,2016-07-02 00:41:58,251.0,280
C10333,1,2016-07-02 00:42:20,110.0,104
C13171,2,2016-07-02 00:42:31,299.0,928
C02231,2,2016-07-02 00:43:11,264.0,695
C05362,1,2016-07-02 00:43:39,272.0,253
C04960,1,2016-07-02 00:46:17,264.0,39
C11000,2,2016-07-02 00:48:57,325.0,3748
C10679,1,2016-07-02 00:50:00,194.0,88
C01953,2,2016-07-02 00:50:17,143.0,271
C09221,2,2016-07-02 00:51:56,433.0,543
C12758,1,2016-07-02 00:53:25,269.0,47
C08924,2,2016-07-02 00:54:54,,304
C11625,3,2016-07-02 00:55:37,299.0,723
C04105,2,2016-07-02 00:55:42,123.0,1461
C00750,2,2016-07-02 00:56:13,325.0,4410
C09486,1,2016-07-02 00:56:34,315.0,71
C04597,2,2016-07-02 00:56:36,,2062
C12517,2,2016-07-02 00:58:38,315.0,2067
C05854,1,2016-07-02 00:59:28,184.0,194
C03230,1,2016-07-02 01:00:41,251.0,64
C12136,2,2016-07-02 01:01:59,299.0,476
C06872,2,2016-07-02 01:02:37,,26
C06248,1,2016-07-02 01:03:12,191.0,1
C12094,2,2016-07-02 01:04:46,204.0,1722
C05312,2,2016-07-02 01:07:47,264.0,50
C08742,1,2016-07-02 01:07:48,330.0,454
C09276,1,2016-07-02 01:10:12,191.0,59
C12234,2,2016-07-02 01:10:40,315.0,504
C08842,2,2016-07-02 01:12:21,299.0,788
C07505,1,2016-07-02 01:12:48,343.0,125
C13001,1,2016-07-02 01:14:07,325.0,332
C08037,1,2016-07-02 01:15:38,143.0,286
C09936,1,2016-07-02 01:16:27,330.0,31
C00259,1,2016-07-02 01:17:26,,60
C12863,1,2016-07-02 01:17:26,444.0,77
C08841,1,2016-07-02 01:17:45,126.0,101
C02515,2,2016-07-02 01:19:41,325.0,404
C08605,1,2016-07-02 01:20:35,184.0,61
C09998,1,2016-07-02 01:21:29,204.0,113
C05560,2,2016-07-02 01:23:23,325.0,996
C01828,2,2016-07-02 01:24:33,264.0,333
C09872,1,2016-07-02 01:28:32,299.0,39
C09253,1,2016-07-02 01:28:57,253.0,21
C08391,2,2016-07-02 01:29:20,,700
C01048,2,2016-07-02 01:29:54,299.0,77
C03047,2,2016-07-02 01:30:10,330.0,1790
C00272,1,2016-07-02 01:31:44,433.0,47
C06791,1,2016-07-02 01:33:27,177.0,22
C10656,1,2016-07-02 01:33:54,325.0,29
C09405,1,2016-07-02 01:35:51,428.0,54
C05622,2,2016-07-02 01:37:39,181.0,175
C03277,1,2016-07-02 01:38:35,,16
C11464,2,2016-07-02 01:38:40,310.0,782
C07212,2,2016-07-02 01:40:00,299.0,2522
C02250,2,2016-07-02 01:40:05,204.0,1651
C05689,2,2016-07-02 01:40:34,433.0,702
C01154,1,2016-07-02 01:51:51,177.0,339
C02331,1,2016-07-02 01:55:03,204.0,106
C10755,1,2016-07-02 01:55:35,143.0,63
C05078,1,2016-07-02 01:57:11,324.0,78
C11227,2,2016-07-02 02:00:32,337.0,1060
C02342,1,2016-07-02 02:01:03,264.0,580
C12907,1,2016-07-02 02:01:09,226.0,36
C05996,2,2016-07-02 02:05:57,,167
C08027,2,2016-07-02 02:09:10,264.0,110
C06055,1,2016-07-02 02:09:45,436.0,47
C12682,1,2016-07-02 02:18:43,264.0,364
C10270,1,2016-07-02 02:22:06,310.0,48
C12598,2,2016-07-02 02:23:37,441.0,728
C12982,1,2016-07-02 02:26:37,225.0,262
C06147,2,2016-07-02 02:27:15,204.0,2080
C13440,2,2016-07-02 02:27:42,325.0,14932
C03351,2,2016-07-02 02:28:25,428.0,84
C12722,1,2016-07-02 02:31:48,126.0,14
C04361,2,2016-07-02 02:34:17,204.0,340
C00614,2,2016-07-02 02:34:25,299.0,431
C10867,2,2016-07-02 02:35:00,325.0,1383
C10852,1,2016-07-02 02:35:54,123.0,213
C06885,1,2016-07-02 02:38:01,325.0,124
C06811,1,2016-07-02 02:39:21,327.0,83
C09671,1,2016-07-02 02:41:07,123.0,49
C07033,1,2016-07-02 02:41:51,226.0,111
C03771,1,2016-07-02 02:42:48,205.0,20
C09165,2,2016-07-02 02:43:45,299.0,1681
C12084,2,2016-07-02 02:46:18,441.0,673
C03851,3,2016-07-02 02:46:46,325.0,506
C01333,2,2016-07-02 02:46:54,315.0,1767
C01521,2,2016-07-02 02:48:00,,411
C09750,1,2016-07-02 02:51:11,315.0,66
C00844,1,2016-07-02 02:54:32,325.0,51
C07220,1,2016-07-02 02:56:42,,206
C01563,1,2016-07-02 03:00:29,325.0,73
C01954,1,2016-07-02 03:00:30,428.0,146
C13449,1,2016-07-02 03:09:36,264.0,140
C10955,2,2016-07-02 03:11:38,272.0,396
C10516,1,2016-07-02 03:13:27,325.0,82
C04582,1,2016-07-02 03:14:29,122.0,39
C02134,2,2016-07-02 03:14:52,264.0,285
C00331,1,2016-07-02 03:17:55,204.0,310
C02608,1,2016-07-02 03:22:23,436.0,142
C06403,3,2016-07-02 03:25:00,299.0,1051
C05196,1,2016-07-02 03:33:25,225.0,34
C00969,2,2016-07-02 03:43:16,204.0,121
C00732,1,2016-07-02 03:45:04,264.0,10
C00094,3,2016-07-02 03:45:41,325.0,809
C02902,2,2016-07-02 03:45:49,204.0,3152
C03412,1,2016-07-02 03:45:54,204.0,101
C10239,1,2016-07-02 03:47:14,337.0,19
C07058,1,2016-07-02 03:48:00,315.0,54
C11883,1,2016-07-02 03:55:32,,2
C03474,1,2016-07-02 03:58:28,126.0,303
C03649,1,2016-07-02 04:02:27,325.0,18
C05958,1,2016-07-02 04:03:12,433.0,77
C07803,1,2016-07-02 04:06:01,123.0,8
C12124,2,2016-07-02 04:07:51,123.0,201
C07523,1,2016-07-02 04:08:47,272.0,315
C09184,1,2016-07-02 04:10:18,181.0,11
C05128,1,2016-07-02 04:11:52,191.0,525
C04034,2,2016-07-02 04:16:27,,894
C03556,2,2016-07-02 04:21:44,264.0,87
C08120,1,2016-07-02 04:25:12,476.0,35
C05961,1,2016-07-02 04:35:35,205.0,120
C05098,1,2016-07-02 04:42:36,181.0,2
C10778,1,2016-07-02 04:48:30,330.0,16
C05276,2,2016-07-02 04:49:05,203.0,198
C11309,1,2016-07-02 04:53:54,204.0,1538
C05277,1,2016-07-02 04:58:38,269.0,11
C10397,1,2016-07-02 05:01:39,310.0,62
C04313,1,2016-07-02 05:03:47,512.0,92
C11873,2,2016-07-02 05:09:48,299.0,369
C10553,1,2016-07-02 05:15:29,299.0,682
C05010,1,2016-07-02 05:18:40,325.0,11
C11929,2,2016-07-02 05:33:59,204.0,560
C08749,1,2016-07-02 05:40:33,310.0,13
C06678,1,2016-07-02 05:43:59,330.0,42
C13372,1,2016-07-02 05:52:45,,59
C09827,2,2016-07-02 05:55:25,264.0,320
C05258,2,2016-07-02 06:03:03,325.0,20
C01959,1,2016-07-02 06:29:24,,8
C03883,1,2016-07-02 06:30:53,,1
C07227,2,2016-07-02 06:40:27,325.0,208
C03858,1,2016-07-02 07:13:23,299.0,43
C07504,1,2016-07-02 07:14:17,485.0,40
C04707,1,2016-07-02 07:19:07,498.0,5
C11917,1,2016-07-02 07:31:02,203.0,12
C11468,2,2016-07-02 08:16:15,143.0,126
C07936,2,2016-07-02 09:39:44,272.0,875
C00773,2,2016-07-02 09:58:19,315.0,539
C01347,2,2016-07-02 10:09:18,299.0,227
C11294,2,2016-07-02 11:19:45,325.0,332
C10911,1,2016-07-02 11:53:32,231.0,11
C02575,2,2016-07-02 12:01:01,204.0,213
C11743,2,2016-07-02 12:02:24,315.0,214
C09286,2,2016-07-02 12:16:30,204.0,107
C12426,2,2016-07-02 12:23:48,330.0,257
C04893,1,2016-07-02 12:32:13,330.0,597
C12311,2,2016-07-02 12:38:58,143.0,318
C07858,2,2016-07-02 12:48:10,441.0,1008
C04543,2,2016-07-02 13:01:02,181.0,54
C12417,1,2016-07-02 13:05:12,143.0,42
C00129,2,2016-07-02 13:08:11,441.0,280
C01254,1,2016-07-02 13:08:43,337.0,191
C08072,1,2016-07-02 13:09:58,123.0,246
C04383,1,2016-07-02 13:15:40,476.0,23
C04798,2,2016-07-02 13:20:11,177.0,185
C09666,2,2016-07-02 13:20:37,472.0,839
C04696,1,2016-07-02 13:21:17,436.0,5
C08824,1,2016-07-02 13:22:52,231.0,20
C09876,1,2016-07-02 13:26:57,472.0,128
C05876,2,2016-07-02 13:34:01,325.0,991
C07871,1,2016-07-02 13:36:36,472.0,257
C12894,1,2016-07-02 13:36:45,191.0,14
C04026,1,2016-07-02 13:37:02,191.0,232
C01974,1,2016-07-02 13:38:55,126.0,7
C04693,1,2016-07-02 13:42:01,184.0,36
C10364,1,2016-07-02 13:43:30,325.0,137
C09981,2,2016-07-02 13:50:20,191.0,493
C08181,1,2016-07-02 13:56:34,264.0,30
C12833,1,2016-07-02 13:56:46,,14
C05782,2,2016-07-02 13:59:48,441.0,457
C10661,1,2016-07-02 14:00:09,498.0,128
C07456,2,2016-07-02 14:01:01,315.0,87
C08913,2,2016-07-02 14:08:59,325.0,180
C09159,1,2016-07-02 14:13:47,441.0,308
C12572,2,2016-07-02 14:22:19,308.0,87
C11522,2,2016-07-02 14:41:06,231.0,875
C11061,1,2016-07-02 14:42:24,,22
C03171,1,2016-07-02 14:52:10,143.0,49
C10800,1,2016-07-02 14:53:12,387.0,12
C10687,1,2016-07-02 14:56:03,143.0,36
C02817,1,2016-07-02 14:57:17,498.0,2
C03714,1,2016-07-02 14:58:23,330.0,254
C07671,2,2016-07-02 14:58:42,264.0,1569
C08614,1,2016-07-02 14:59:19,308.0,126
C12489,1,2016-07-02 15:04:37,,8
C11381,2,2016-07-02 15:09:05,203.0,331
C01308,1,2016-07-02 15:10:04,327.0,16
C00823,1,2016-07-02 15:10:57,315.0,94
C00424,1,2016-07-02 15:14:06,203.0,5
C09342,1,2016-07-02 15:17:09,428.0,15
C13033,1,2016-07-02 15:19:41,122.0,27
C12738,1,2016-07-02 15:19:54,184.0,35
C02480,1,2016-07-02 15:21:07,330.0,416
C03415,1,2016-07-02 15:22:01,264.0,3
C08269,1,2016-07-02 15:22:38,204.0,682
C12030,2,2016-07-02 15:24:07,420.0,47
C12345,1,2016-07-02 15:24:15,264.0,14
C11082,1,2016-07-02 15:24:27,204.0,45
C04865,1,2016-07-02 15:24:49,204.0,530
C03320,1,2016-07-02 15:27:34,269.0,13
C08899,1,2016-07-02 15:31:36,441.0,27
C02309,2,2016-07-02 15:33:35,231.0,603
C02380,1,2016-07-02 15:41:55,205.0,16
C11539,2,2016-07-02 15:43:35,272.0,988
C12829,1,2016-07-02 15:44:47,494.0,1
C03405,2,2016-07-02 15:47:07,299.0,505
C01374,2,2016-07-02 15:51:55,299.0,321
C06253,1,2016-07-02 15:52:02,308.0,58
C04762,1,2016-07-02 15:52:39,184.0,21
C07919,2,2016-07-02 15:53:25,315.0,1019
C10715,2,2016-07-02 15:53:29,123.0,760
C06888,1,2016-07-02 16:00:50,,4
C06890,1,2016-07-02 16:02:59,325.0,9
C05595,2,2016-07-02 16:05:35,,54
C00051,1,2016-07-02 16:05:54,191.0,42
C02923,1,2016-07-02 16:06:18,330.0,92
C12676,1,2016-07-02 16:10:50,,3
C08598,1,2016-07-02 16:14:26,494.0,21
C01252,1,2016-07-02 16:20:27,264.0,5
C05443,1,2016-07-02 16:23:17,337.0,19
C07387,1,2016-07-02 16:23:39,110.0,35
C06481,2,2016-07-02 16:23:49,299.0,123
C09584,1,2016-07-02 16:24:31,126.0,35
C04478,1,2016-07-02 16:27:00,315.0,11
C04834,1,2016-07-02 16:36:13,310.0,41
C08635,1,2016-07-02 16:37:51,330.0,88
C03488,2,2016-07-02 16:42:21,,108
C11005,1,2016-07-02 16:45:01,204.0,87
C02764,1,2016-07-02 16:45:53,181.0,266
C13259,1,2016-07-02 16:46:35,,2
C11059,1,2016-07-02 16:47:31,476.0,74
C10585,2,2016-07-02 16:52:34,204.0,126
C05115,2,2016-07-02 16:53:46,184.0,198
C13516,2,2016-07-02 16:55:08,251.0,74
C03667,1,2016-07-02 16:56:48,123.0,2
C04709,2,2016-07-02 16:58:25,181.0,214
C11702,1,2016-07-02 17:00:55,,29
C01010,1,2016-07-02 17:03:31,184.0,197
C09657,2,2016-07-02 17:06:41,,1343
C13354,2,2016-07-02 17:12:50,325.0,322
C07215,1,2016-07-02 17:15:17,299.0,55
C06348,1,2016-07-02 17:15:31,299.0,46
C01110,1,2016-07-02 17:16:12,315.0,50
C01061,1,2016-07-02 17:24:07,225.0,2
C09820,2,2016-07-02 17:27:00,469.0,272
C05171,1,2016-07-02 17:27:37,343.0,62
C09420,2,2016-07-02 17:32:32,264.0,232
C11583,1,2016-07-02 17:35:52,251.0,4
C11906,1,2016-07-02 17:38:30,272.0,314
C12652,1,2016-07-02 17:42:23,272.0,16
C00059,2,2016-07-02 17:43:33,264.0,589
C01286,1,2016-07-02 17:44:46,,4
C11852,1,2016-07-02 17:46:28,204.0,155
C12981,1,2016-07-02 17:46:28,272.0,71
C07335,2,2016-07-02 17:47:54,337.0,84
C04062,1,2016-07-02 17:50:10,315.0,74
C11176,1,2016-07-02 17:51:46,299.0,1
C00089,2,2016-07-02 17:53:03,337.0,9
C05448,2,2016-07-02 17:54:25,324.0,40
C06327,1,2016-07-02 17:55:41,,8
C04525,1,2016-07-02 17:55:42,330.0,6
C10320,1,2016-07-02 17:58:58,299.0,120
C11768,1,2016-07-02 18:00:07,325.0,14
C02566,1,2016-07-02 18:00:30,,11
C10900,1,2016-07-02 18:02:09,123.0,35
C11701,1,2016-07-02 18:02:16,485.0,2
C02646,1,2016-07-02 18:03:42,299.0,11
C04764,1,2016-07-02 18:03:53,,20
C02930,1,2016-07-02 18:04:51,184.0,26
C11216,2,2016-07-02 18:12:41,110.0,54
C07149,2,2016-07-02 18:14:33,126.0,875
C09354,1,2016-07-02 18:16:09,,243
C01248,1,2016-07-02 18:17:56,191.0,9
C03651,2,2016-07-02 18:18:38,264.0,91
C03722,1,2016-07-02 18:18:53,498.0,44
C07741,2,2016-07-02 18:19:09,476.0,785
C04701,2,2016-07-02 18:20:12,264.0,27
C07997,1,2016-07-02 18:20:46,204.0,152
C01942,1,2016-07-02 18:22:32,299.0,31
C10006,1,2016-07-02 18:29:39,123.0,31
C03204,2,2016-07-02 18:30:30,,7
C08695,2,2016-07-02 18:32:09,299.0,50
C08775,1,2016-07-02 18:33:03,,17
C09191,1,2016-07-02 18:34:28,269.0,10
C13053,1,2016-07-02 18:39:33,204.0,16
C08542,1,2016-07-02 18:39:44,225.0,42
C11687,2,2016-07-02 18:41:01,204.0,272
C03839,1,2016-07-02 18:43:16,226.0,60
C09087,1,2016-07-02 18:43:58,184.0,7
C07276,1,2016-07-02 18:44:06,330.0,15
C08321,2,2016-07-02 18:45:15,330.0,34
C13346,1,2016-07-02 18:47:47,325.0,9
C11494,1,2016-07-02 18:49:30,387.0,17
C07889,1,2016-07-02 18:51:07,226.0,3
C04408,1,2016-07-02 18:53:32,387.0,15
C02346,1,2016-07-02 18:54:52,330.0,18
C03411,2,2016-07-02 18:55:08,204.0,332
C01337,2,2016-07-02 18:58:24,191.0,34
C09650,1,2016-07-02 19:04:53,,8
C01988,1,2016-07-02 19:08:39,310.0,25
C04118,2,2016-07-02 19:10:43,181.0,487
C00195,1,2016-07-02 19:11:06,226.0,30
C03670,1,2016-07-02 19:14:25,226.0,8
C06845,1,2016-07-02 19:15:00,310.0,55
C05318,2,2016-07-02 19:15:10,485.0,50
C05164,1,2016-07-02 19:17:39,476.0,28
C12097,1,2016-07-02 19:22:40,476.0,77
C08597,2,2016-07-02 19:23:37,299.0,245
C04112,1,2016-07-02 19:25:05,,6
C12003,1,2016-07-02 19:27:53,191.0,40
C06658,1,2016-07-02 19:27:55,441.0,50
C07906,1,2016-07-02 19:33:15,,1
C04285,1,2016-07-02 19:33:35,264.0,209
C12542,1,2016-07-02 19:34:05,485.0,46
C00409,1,2016-07-02 19:34:37,264.0,71
C00101,1,2016-07-02 19:37:50,123.0,26
C02456,1,2016-07-02 19:38:48,,107
C12060,1,2016-07-02 19:39:38,433.0,78
C02094,1,2016-07-02 19:39:57,264.0,102
C10915,1,2016-07-02 19:44:47,264.0,57
C13542,1,2016-07-02 19:49:18,315.0,48
C08622,1,2016-07-02 19:51:38,327.0,18
C09261,1,2016-07-02 19:52:18,327.0,22
C11441,1,2016-07-02 19:55:21,433.0,12
C01735,1,2016-07-02 20:00:17,231.0,7
C05129,2,2016-07-02 20:10:06,181.0,105
C11257,1,2016-07-02 20:13:23,170.0,41
C07076,1,2016-07-02 20:13:39,472.0,34
C10760,2,2016-07-02 20:14:38,,421
C03787,1,2016-07-02 20:18:02,170.0,29
C13337,1,2016-07-02 20:22:31,191.0,21
C05011,1,2016-07-02 20:25:15,315.0,165
C08422,1,2016-07-02 20:30:15,191.0,20
C10752,1,2016-07-02 20:32:11,226.0,16
C11533,2,2016-07-02 20:32:39,122.0,364
C11662,1,2016-07-02 20:33:34,,10
C06552,2,2016-07-02 20:33:46,325.0,122
C06800,1,2016-07-02 20:37:07,512.0,34
C00642,2,2016-07-02 20:37:58,272.0,425
C04352,1,2016-07-02 20:39:21,325.0,209
C01706,1,2016-07-02 20:43:57,191.0,37
C03532,2,2016-07-02 20:45:33,264.0,202
C05120,2,2016-07-02 20:45:35,299.0,5
C10873,1,2016-07-02 20:50:12,123.0,75
C07847,2,2016-07-02 20:54:31,264.0,367
C08460,1,2016-07-02 20:58:17,264.0,89
C10386,1,2016-07-02 20:58:28,441.0,41
C04157,1,2016-07-02 21:02:46,,16
C13328,1,2016-07-02 21:03:56,299.0,98
C01855,2,2016-07-02 21:04:34,299.0,253
C09064,1,2016-07-02 21:06:46,315.0,53
C03201,1,2016-07-02 21:06:52,,9
C09274,1,2016-07-02 21:06:57,299.0,315
C04248,2,2016-07-02 21:07:28,,234
C06388,1,2016-07-02 21:08:11,123.0,20
C12321,1,2016-07-02 21:08:33,,11
C04548,1,2016-07-02 21:10:08,325.0,34
C07336,1,2016-07-02 21:13:46,,12
C09608,1,2016-07-02 21:15:47,472.0,25
C00509,1,2016-07-02 21:16:09,330.0,27
C03299,2,2016-07-02 21:20:11,264.0,191
C11319,1,2016-07-02 21:26:39,,40
C10946,1,2016-07-02 21:26:53,,1
C07954,1,2016-07-02 21:29:02,181.0,28
C00522,1,2016-07-02 21:29:06,272.0,8
C03042,1,2016-07-02 21:33:32,299.0,79
