device_id,canonical_profile_str,device_info,os,browser,screen,device_type
DEV_8321bb5a238d,SAMSUNG SM-G892A Build/NRD90M | Android 7.0 | samsung browser 6.2 | 2220x1080,SAMSUNG SM-G892A Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080,mobile
DEV_e2b40121becf,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1334x750,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750,mobile
DEV_6b457216b92c,Windows | Unknown | chrome 62.0 | Unknown,Windows,,chrome 62.0,,desktop
DEV_9405b7d7944f,Unknown | Unknown | chrome 62.0 | Unknown,,,chrome 62.0,,desktop
DEV_e73e8a2a3bb4,MacOS | Mac OS X 10_11_6 | chrome 62.0 | 1280x800,MacOS,Mac OS X 10_11_6,chrome 62.0,1280x800,desktop
DEV_78eeac019a2d,Windows | Windows 10 | chrome 62.0 | 1366x768,Windows,Windows 10,chrome 62.0,1366x768,desktop
DEV_768b54f77e86,Unknown (unknown),,,,,
DEV_63cfd97726a5,Unknown | Android | chrome 62.0 | 1920x1080,,Android,chrome 62.0,1920x1080,mobile
DEV_381a7cdf40a9,SM-G930V Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080,SM-G930V Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080,mobile
DEV_a1b40b101b7b,Windows | Windows 10 | chrome 62.0 | 1680x1050,Windows,Windows 10,chrome 62.0,1680x1050,desktop
DEV_e81cd438155b,Unknown | Linux | chrome 62.0 | 1920x1080,,Linux,chrome 62.0,1920x1080,desktop
DEV_6437930fb5ff,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1136x640,iOS Device,iOS 11.1.2,mobile safari 11.0,1136x640,mobile
DEV_0d63ea62bece,BLADE A602 Build/MRA58K | Unknown | chrome 62.0 for android | Unknown,BLADE A602 Build/MRA58K,,chrome 62.0 for android,,mobile
DEV_ca6e9d752be4,Windows | Windows 10 | edge 15.0 | Unknown,Windows,Windows 10,edge 15.0,,desktop
DEV_bada5fffd191,iOS Device | iOS 11.0.3 | mobile safari generic | 1334x750,iOS Device,iOS 11.0.3,mobile safari generic,1334x750,mobile
DEV_5ea76fbfe2d2,MacOS | Mac OS X 10_7_5 | chrome 49.0 | 1280x800,MacOS,Mac OS X 10_7_5,chrome 49.0,1280x800,desktop
DEV_72ad6918ef0c,XT1635-02 Build/NPN26.118-22-2 | Unknown | chrome 62.0 for android | Unknown,XT1635-02 Build/NPN26.118-22-2,,chrome 62.0 for android,,mobile
DEV_a14aa5fc4e0d,MacOS | Mac OS X 10_12_6 | chrome 61.0 | 5120x2880,MacOS,Mac OS X 10_12_6,chrome 61.0,5120x2880,desktop
DEV_832e277c0200,MacOS | Mac OS X 10_12_6 | chrome 62.0 | 2880x1800,MacOS,Mac OS X 10_12_6,chrome 62.0,2880x1800,desktop
DEV_fb1818546da5,Windows | Windows 10 | edge 16.0 | 1920x1200,Windows,Windows 10,edge 16.0,1920x1200,desktop
DEV_45716e061d2a,MacOS | Mac OS X 10_13_1 | safari generic | 2560x1600,MacOS,Mac OS X 10_13_1,safari generic,2560x1600,desktop
DEV_a8cf2533a561,iOS Device | iOS 11.1.0 | mobile safari 11.0 | 2048x1536,iOS Device,iOS 11.1.0,mobile safari 11.0,2048x1536,mobile
DEV_bea42b4e4032,Windows | Windows 10 | chrome 62.0 | 1024x768,Windows,Windows 10,chrome 62.0,1024x768,desktop
DEV_c4353a7b01e2,Windows | Windows 10 | edge 14.0 | 1366x768,Windows,Windows 10,edge 14.0,1366x768,desktop
DEV_b485c304a1cd,Z970 | Android | chrome 56.0 for android | 1280x720,Z970,Android,chrome 56.0 for android,1280x720,mobile
DEV_d0f009b3fe33,Unknown | Android | chrome 62.0 | 2560x1440,,Android,chrome 62.0,2560x1440,mobile
DEV_db990328f193,Windows | Unknown | firefox 57.0 | Unknown,Windows,,firefox 57.0,,desktop
DEV_25b9a683279e,Unknown | Unknown | mobile safari 11.0 | Unknown,,,mobile safari 11.0,,mobile
DEV_afb3a55e4cf3,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2208x1242,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile
DEV_6d00c1d995fe,iOS Device | iOS 11.0.3 | mobile safari 11.0 | 2048x1536,iOS Device,iOS 11.0.3,mobile safari 11.0,2048x1536,mobile
DEV_25a2bd764bbd,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2001x1125,iOS Device,iOS 11.1.2,mobile safari 11.0,2001x1125,mobile
DEV_9fa2195c5e9f,SM-N920V Build/NRD90M | Android 7.0 | chrome 62.0 for android | Unknown,SM-N920V Build/NRD90M,Android 7.0,chrome 62.0 for android,,mobile
DEV_2f9dfadf744e,Redmi Note 4 Build/MMB29M | Unknown | chrome 54.0 for android | Unknown,Redmi Note 4 Build/MMB29M,,chrome 54.0 for android,,mobile
DEV_06f1ac2e8f4d,iOS Device | iOS 11.1.2 | mobile safari uiwebview | 2048x1536,iOS Device,iOS 11.1.2,mobile safari uiwebview,2048x1536,mobile
