from_case,to_transaction,is_first_fraud
CC-0001,3000120,1
CC-0002,3000332,1
CC-0003,3000607,0
CC-0004,3000906,1
CC-0004,3001040,0
CC-0005,3000183,1
CC-0006,3001230,1
CC-0007,3000264,1
CC-0008,3001018,1
CC-0009,3002486,0
CC-0010,3002792,0
CC-0011,3000989,1
CC-0012,3002019,1
CC-0013,3002951,1
CC-0014,3002010,1
CC-0015,3002758,0
CC-0016,3001839,1
CC-0017,3003172,0
CC-0018,3001565,1
CC-0019,3002476,1
CC-0020,3000808,1
CC-0020,3000825,0
CC-0020,3003871,0
CC-0020,3003906,0
CC-0021,3003708,0
CC-0022,3001611,1
CC-0023,3004228,0
CC-0024,3003459,1
CC-0024,3003503,0
CC-0025,3003546,1
CC-0026,3004354,0
CC-0027,3003757,1
CC-0028,3003607,1
CC-0029,3000150,1
CC-0029,3002210,0
CC-0029,3002242,0
CC-0030,3003913,1
CC-0031,3001820,1
CC-0032,3005276,0
CC-0033,3001937,1
CC-0033,3001952,0
CC-0033,3001999,0
CC-0034,3005972,0
CC-0035,3004895,1
CC-0036,3003325,1
CC-0037,3006461,0
CC-0038,3006275,0
CC-0039,3004695,1
CC-0040,3006416,0
CC-0041,3003842,1
CC-0042,3006354,0
CC-0043,3002981,1
CC-0044,3005476,1
CC-0045,3001632,1
CC-0045,3002781,0
CC-0045,3003811,0
CC-0045,3005310,0
CC-0046,3002840,1
CC-0047,3002820,1
CC-0047,3002828,0
CC-0047,3004711,0
CC-0047,3004734,0
CC-0047,3004746,0
CC-0048,3006432,1
CC-0049,3004818,1
CC-0049,3004823,0
CC-0050,3006044,1
CC-0051,3006772,1
CC-0051,3006774,0
CC-0052,3004914,1
CC-0053,3006690,1
CC-0054,3004838,1
CC-0055,3005851,1
CC-0056,3003521,1
CC-0057,3006366,1
CC-0058,3007307,0
CC-0059,3000904,1
CC-0059,3001479,0
CC-0059,3005523,0
CC-0059,3005542,0
CC-0060,3003331,1
CC-0060,3003334,0
CC-0061,3006964,0
CC-0062,3003096,1
CC-0062,3003109,0
CC-0062,3003149,0
CC-0062,3006742,0
CC-0063,3000256,1
CC-0063,3001075,0
CC-0063,3005210,0
CC-0063,3006200,0
CC-0063,3006850,0
CC-0063,3006853,0
CC-0063,3006859,0
CC-0063,3006872,0
CC-0063,3006996,0
CC-0063,3007008,0
CC-0063,3007451,0
CC-0063,3007722,0
CC-0064,3004342,1
CC-0064,3004343,0
CC-0065,3007293,0
CC-0066,3008267,0
CC-0067,3005969,1
CC-0067,3005996,0
CC-0067,3006014,0
CC-0068,3008568,0
CC-0069,3007099,0
CC-0070,3004140,1
CC-0071,3005539,1
CC-0072,3005146,1
CC-0073,3008421,1
CC-0074,3008726,1
CC-0075,3006561,1
CC-0076,3004802,1
CC-0076,3004910,0
CC-0077,3009019,0
CC-0078,3005866,1
CC-0078,3006663,0
CC-0079,3002258,1
CC-0079,3005470,0
CC-0080,3004998,1
CC-0081,3005023,1
CC-0082,3008084,0
CC-0083,3009363,0
CC-0084,3007469,1
CC-0084,3007992,0
CC-0085,3001404,1
CC-0085,3001462,0
CC-0085,3004832,0
CC-0085,3004849,0
CC-0085,3004876,0
CC-0085,3008631,0
CC-0085,3008861,0
CC-0086,3009332,1
CC-0087,3008876,1
CC-0088,3009046,0
CC-0089,3007653,1
CC-0089,3007655,0
CC-0089,3007659,0
CC-0090,3007110,1
CC-0090,3007173,0
CC-0090,3007336,0
CC-0090,3008705,0
CC-0091,3009776,0
CC-0092,3008731,1
CC-0093,3006978,1
CC-0093,3007013,0
CC-0094,3009721,1
CC-0095,3000824,1
CC-0095,3001548,0
CC-0095,3004896,0
CC-0095,3008509,0
CC-0095,3008623,0
CC-0096,3010143,0
CC-0097,3007851,1
CC-0098,3009884,0
CC-0099,3010003,0
CC-0100,3009606,1
CC-0101,3008404,1
CC-0102,3009982,1
CC-0102,3010017,0
CC-0103,3009937,1
CC-0104,3007244,1
CC-0105,3006763,1
CC-0106,3007053,1
CC-0107,3006794,1
CC-0107,3008592,0
CC-0108,3007044,1
CC-0108,3007399,0
CC-0108,3008926,0
CC-0109,3003071,1
CC-0109,3003075,0
CC-0109,3003320,0
CC-0109,3008965,0
CC-0110,3011067,1
