from_transaction,to_domain,role
3000001,yahoo.com,purchaser
3000002,gmail.com,purchaser
3000003,hotmail.com,purchaser
3000003,hotmail.com,recipient
3000004,hotmail.com,purchaser
3000004,hotmail.com,recipient
3000006,hotmail.com,purchaser
3000007,yahoo.com,purchaser
3000008,gmail.com,purchaser
3000008,gmail.com,recipient
3000009,gmail.com,purchaser
3000010,gmail.com,purchaser
3000013,gmail.com,purchaser
3000014,gmail.com,purchaser
3000015,hotmail.com,purchaser
3000015,hotmail.com,recipient
3000016,hotmail.com,purchaser
3000016,hotmail.com,recipient
3000017,gmail.com,purchaser
3000018,hotmail.com,purchaser
3000018,hotmail.com,recipient
3000019,gmail.com,purchaser
3000020,hotmail.com,purchaser
3000020,hotmail.com,recipient
3000021,yahoo.com,purchaser
3000022,gmail.com,purchaser
3000024,gmail.com,purchaser
3000026,gmail.com,purchaser
3000028,comcast.net,purchaser
3000029,comcast.net,purchaser
3000030,gmail.com,purchaser
3000031,gmail.com,purchaser
3000033,gmail.com,purchaser
3000034,gmail.com,purchaser
3000035,yahoo.com,purchaser
3000036,gmail.com,purchaser
3000038,anonymous.com,purchaser
3000040,gmail.com,purchaser
3000041,gmail.com,purchaser
3000041,gmail.com,recipient
3000042,yahoo.com,purchaser
3000043,gmail.com,purchaser
3000044,gmail.com,purchaser
3000044,gmail.com,recipient
3000045,yahoo.com,purchaser
3000046,gmail.com,purchaser
3000047,yahoo.com,purchaser
3000048,live.com,purchaser
3000049,yahoo.com,purchaser
3000050,hotmail.com,purchaser
3000051,gmail.com,purchaser
3000052,gmail.com,purchaser
3000053,hotmail.com,purchaser
3000054,gmail.com,purchaser
3000055,aol.com,purchaser
3000057,hotmail.com,purchaser
3000057,hotmail.com,recipient
3000058,yahoo.com,purchaser
3000059,yahoo.com,purchaser
3000061,gmail.com,purchaser
3000061,gmail.com,recipient
3000062,gmail.com,purchaser
3000063,anonymous.com,recipient
3000064,gmail.com,purchaser
3000064,gmail.com,recipient
3000065,aol.com,purchaser
3000065,gmail.com,recipient
3000066,gmail.com,purchaser
3000067,yahoo.com,purchaser
