from_transaction,to_device,id_15
3000001,DEV_2e5455aad7ab,Found
3000003,DEV_9405b7d7944f,New
3000004,DEV_9405b7d7944f,Found
3000008,DEV_6b457216b92c,Found
3000013,DEV_b295679ae7f9,Found
3000014,DEV_768b54f77e86,
3000016,DEV_82024e3ba9c4,New
3000018,DEV_9405b7d7944f,Found
3000019,DEV_e2b40121becf,New
3000028,DEV_381a7cdf40a9,New
3000029,DEV_381a7cdf40a9,Found
3000038,DEV_6437930fb5ff,New
3000044,DEV_6b457216b92c,Found
3000057,DEV_402a69adced9,Found
3000061,DEV_6b457216b92c,Found
3000063,DEV_64dff25f9e67,New
3000064,DEV_d54175f676d4,Found
3000065,DEV_afb3a55e4cf3,New
3000075,DEV_06f1ac2e8f4d,New
3000077,DEV_505d047c758f,Found
3000078,DEV_4bb2c7f622a5,Unknown
3000079,DEV_77b82f840599,Unknown
3000084,DEV_356258a3017d,New
3000086,DEV_c054ed0c7fa6,Unknown
3000087,DEV_c054ed0c7fa6,Unknown
3000090,DEV_afb3a55e4cf3,New
3000093,DEV_25b9a683279e,Unknown
3000095,DEV_9405b7d7944f,Found
3000101,DEV_c054ed0c7fa6,Unknown
3000102,DEV_afb3a55e4cf3,New
3000103,DEV_c054ed0c7fa6,Unknown
3000105,DEV_971e668a7879,New
3000107,DEV_c054ed0c7fa6,Unknown
3000113,DEV_4bb2c7f622a5,Unknown
3000120,DEV_620dfcc1b01e,Unknown
3000123,DEV_36bbd984acbe,New
3000127,DEV_6b457216b92c,New
3000128,DEV_b376862d5f4c,Found
3000135,DEV_8e37cf0775f4,Found
3000138,DEV_6b457216b92c,New
3000139,DEV_a5f3ad677d08,New
3000150,DEV_19a0c4cbcbee,Unknown
3000152,DEV_e2b40121becf,Found
3000155,DEV_7738f03e62a9,New
3000156,DEV_4b91992ee30a,Found
3000158,DEV_e2b40121becf,Found
3000164,DEV_6b457216b92c,New
3000171,DEV_4569386a2b47,New
3000172,DEV_35dbf3be8246,New
3000174,DEV_6de98655fa57,Found
3000175,DEV_0aa89b2acca5,New
3000178,DEV_6b457216b92c,Found
3000179,DEV_40a6204f97ee,Found
3000181,DEV_8cccc8f01f55,Found
3000182,DEV_4196ef1afe50,New
3000184,DEV_4bb2c7f622a5,Unknown
3000186,DEV_6b457216b92c,Found
3000190,DEV_f6e2a294eee5,New
3000192,DEV_4bb2c7f622a5,Unknown
3000195,DEV_4bb2c7f622a5,Unknown
3000196,DEV_8f694a54a6cf,Found
3000197,DEV_a2a1dbf34f77,Found
3000202,DEV_768b54f77e86,
3000204,DEV_af8765ded39b,New
3000205,DEV_78eeac019a2d,New
3000212,DEV_f3023e665c1b,Found
3000216,DEV_b376862d5f4c,Found
3000217,DEV_6b457216b92c,New
3000220,DEV_3f626d3928a1,New
3000225,DEV_2ceb8f1464f6,New
3000226,DEV_4fd3e6072036,New
3000227,DEV_569bcc721950,Found
3000228,DEV_d54175f676d4,New
3000229,DEV_6534e3918927,New
3000230,DEV_d094973e8d8c,New
3000232,DEV_8f694a54a6cf,New
3000234,DEV_505d047c758f,New
3000237,DEV_dd0cb2ae1666,Found
3000239,DEV_b376862d5f4c,New
3000240,DEV_7a61b8f30dc2,New
3000242,DEV_8f694a54a6cf,Found
3000245,DEV_d094973e8d8c,Found
3000247,DEV_6b457216b92c,Found
3000250,DEV_6b457216b92c,Found
3000256,DEV_b376862d5f4c,Found
3000264,DEV_ef64018bd8b1,Found
3000265,DEV_78eeac019a2d,Found
3000267,DEV_b376862d5f4c,New
3000272,DEV_d54175f676d4,Unknown
3000274,DEV_25b9a683279e,Unknown
3000275,DEV_ef64018bd8b1,Found
3000280,DEV_25b9a683279e,Unknown
3000284,DEV_f3432fcf7962,Unknown
3000291,DEV_9405b7d7944f,New
3000293,DEV_6437930fb5ff,New
3000296,DEV_5a3234af81db,Found
3000299,DEV_b376862d5f4c,New
3000303,DEV_db9f60f40efa,New
3000305,DEV_9405b7d7944f,New
3000306,DEV_b376862d5f4c,New
3000312,DEV_6b457216b92c,New
3000314,DEV_086a2a63c47a,New
3000316,DEV_6437930fb5ff,New
3000317,DEV_6b457216b92c,New
3000319,DEV_4ffa5b31ef06,New
3000321,DEV_25b9a683279e,Unknown
3000322,DEV_380294cb9a7d,New
3000333,DEV_25b9a683279e,Unknown
3000365,DEV_e364f13d9cdc,New
3000366,DEV_eb569b47f00e,New
3000381,DEV_2b644d441580,New
3000391,DEV_059ecd03b28d,Found
3000400,DEV_e0e584235f3e,New
3000403,DEV_6abd89cbf6a6,Found
3000447,DEV_77790a43ef03,Found
3000511,DEV_2ceb8f1464f6,New
3000519,DEV_bef7b7f5801e,New
3000581,DEV_7fc069cefb93,New
3000586,DEV_7fc069cefb93,Found
3000591,DEV_efc3184cf12b,Found
3000609,DEV_e8fd422f70a6,New
3000613,DEV_656a0c9e5f1d,Found
3000622,DEV_656a0c9e5f1d,New
3000629,DEV_228fca125d67,New
3000632,DEV_a5f3ad677d08,Found
3000639,DEV_52b6f95f0edd,New
3000645,DEV_3c134eb97eed,Found
3000648,DEV_769c87a513ff,New
3000649,DEV_769c87a513ff,New
3000681,DEV_43fa88ceee33,New
3000683,DEV_6437930fb5ff,New
3000691,DEV_768b54f77e86,
3000693,DEV_ef64018bd8b1,Found
3000694,DEV_e734a422ecc2,New
3000705,DEV_78eeac019a2d,Found
3000715,DEV_7572575656be,Found
3000718,DEV_8a3f23092140,Found
3000722,DEV_7fc069cefb93,Found
3000733,DEV_7572575656be,Found
3000736,DEV_6b457216b92c,Found
3000737,DEV_2c8337d24478,Unknown
3000741,DEV_6906a91be653,New
3000765,DEV_afb3a55e4cf3,Found
3000766,DEV_505d047c758f,Found
3000768,DEV_e35b896f623a,Found
3000769,DEV_9c7cd9e52747,New
3000778,DEV_e70e474b0d38,Found
3000780,DEV_afb3a55e4cf3,Found
3000781,DEV_56c8ba0ed740,Found
3000784,DEV_e2b40121becf,New
3000791,DEV_afb3a55e4cf3,New
3000795,DEV_4c2a29658f0e,New
3000805,DEV_6b457216b92c,New
3000812,DEV_534e36cad40f,New
3000813,DEV_c448bfa936e7,New
3000815,DEV_6b457216b92c,Found
3000821,DEV_7abe1516b00c,Found
3000833,DEV_7abe1516b00c,Found
3000834,DEV_7abe1516b00c,Found
3000838,DEV_afb3a55e4cf3,New
3000845,DEV_4467ce5ce57c,New
3000857,DEV_534e36cad40f,New
3000862,DEV_b376862d5f4c,New
3000871,DEV_6437930fb5ff,New
3000872,DEV_529d19d8d0af,New
3000876,DEV_9a7b474ee414,Found
3000880,DEV_ca40963aeab6,Unknown
3000886,DEV_afb3a55e4cf3,New
3000889,DEV_768b54f77e86,
3000891,DEV_a5506d8730c8,Found
3000893,DEV_78eeac019a2d,Found
3000895,DEV_fd2a58d804c9,New
3000899,DEV_77b82f840599,Unknown
3000901,DEV_963ffb72081a,New
3000903,DEV_23ad222038f0,New
3000904,DEV_0995628aeff5,Found
3000911,DEV_e2b40121becf,New
3000916,DEV_af6f099376d2,New
3000922,DEV_6b457216b92c,Found
3000932,DEV_0e8b04ab1bf5,Found
3000942,DEV_0898629a1934,New
3000943,DEV_057d5eca6f7a,New
3000945,DEV_6b457216b92c,New
3000953,DEV_fcd1e20c6e77,New
3000956,DEV_45ba4fce3a2b,New
3000960,DEV_2db34a7bf059,Found
3000967,DEV_a5f3ad677d08,Found
3000973,DEV_3dd264a81900,Found
3000975,DEV_606d166f051c,New
3000981,DEV_9f752f04197b,Found
3000987,DEV_b679804d2b3f,Found
3000989,DEV_b679804d2b3f,New
3000998,DEV_49f268ea9ab5,New
3001002,DEV_c08e337b7daa,Found
3001004,DEV_768b54f77e86,
3001006,DEV_78eeac019a2d,Found
3001011,DEV_3c134eb97eed,Found
3001021,DEV_8abd9573f0ea,New
3001024,DEV_591e4ca3f48d,Found
3001039,DEV_fcd1e20c6e77,New
3001041,DEV_6b457216b92c,Found
3001046,DEV_b376862d5f4c,New
3001059,DEV_ca40963aeab6,New
3001073,DEV_8c54c36c336d,Found
3001083,DEV_3efc3609980b,New
3001089,DEV_4d74f2d96449,New
3001092,DEV_efc3184cf12b,New
3001098,DEV_3d6eccfe4ce9,New
3001102,DEV_9405b7d7944f,New
3001116,DEV_45716e061d2a,Found
3001123,DEV_230ab7f3e82b,Found
3001128,DEV_ca6e9d752be4,Found
3001159,DEV_1e6f329343ef,Found
3001160,DEV_afb3a55e4cf3,New
3001172,DEV_fcd1e20c6e77,Found
3001174,DEV_a52fcfacc218,Found
3001176,DEV_fcd1e20c6e77,Found
3001180,DEV_a628de1db06a,Found
3001181,DEV_76c92f78f5e6,New
3001184,DEV_73a8e3d96462,New
3001185,DEV_2bd7a2d0eb92,New
3001202,DEV_768b54f77e86,
3001209,DEV_bf99f2c7176d,Unknown
3001213,DEV_e123ca97ca17,New
3001225,DEV_25b9a683279e,Unknown
3001229,DEV_a628de1db06a,Found
3001238,DEV_af6f099376d2,New
3001244,DEV_4c01eda17c29,New
3001248,DEV_25b9a683279e,Unknown
3001253,DEV_6b457216b92c,Found
3001257,DEV_768b54f77e86,
3001264,DEV_6b457216b92c,Unknown
3001274,DEV_d094973e8d8c,New
3001276,DEV_85b594bdb92d,Unknown
3001277,DEV_33154f25dec3,New
3001279,DEV_43fa88ceee33,New
3001286,DEV_6d00c1d995fe,Found
3001287,DEV_a7aafdc9063e,New
3001297,DEV_5bfcc80ef31a,Found
3001298,DEV_480f93677740,New
3001303,DEV_7c6344e0a82e,Found
3001307,DEV_9405b7d7944f,New
3001308,DEV_d6644f9c564e,New
3001327,DEV_19a0c4cbcbee,New
3001335,DEV_f5252663fec1,Found
3001336,DEV_18835ec56c72,New
3001338,DEV_dc5014a77d86,Found
3001339,DEV_18835ec56c72,Found
3001340,DEV_cc53c618f722,New
3001343,DEV_bfc7b721b388,New
3001355,DEV_bd5768005816,Found
3001358,DEV_a4cc40b3bd0d,New
3001369,DEV_db79c95d88f2,Unknown
3001377,DEV_18835ec56c72,Found
3001381,DEV_18835ec56c72,Found
3001382,DEV_25b9a683279e,Unknown
3001384,DEV_65c5b475f8e8,New
3001385,DEV_78eeac019a2d,New
3001386,DEV_6b457216b92c,New
3001388,DEV_18835ec56c72,Found
3001393,DEV_059ecd03b28d,New
3001397,DEV_b295679ae7f9,Found
3001398,DEV_d6644f9c564e,Found
3001399,DEV_a8ed20b8cdbb,Found
3001402,DEV_77790a43ef03,Found
3001406,DEV_a4cc40b3bd0d,Found
3001408,DEV_b7724880609d,Unknown
3001410,DEV_18835ec56c72,Found
3001411,DEV_059ecd03b28d,New
