from_card,to_transaction
C06075-K1,3000001
C07096-K2,3000002
C11919-K2,3000003
C11919-K2,3000004
C07867-K2,3000005
C06743-K1,3000006
C10193-K2,3000007
C11923-K2,3000008
C08925-K1,3000009
C09301-K2,3000010
C03218-K2,3000011
C07867-K2,3000012
C08945-K2,3000013
C08945-K2,3000014
C06598-K1,3000015
C11923-K2,3000016
C08662-K1,3000017
C11919-K2,3000018
C11709-K2,3000019
C11923-K2,3000020
C07648-K2,3000021
C03575-K2,3000022
C03847-K1,3000023
C10234-K1,3000024
C09711-K1,3000025
C09339-K1,3000026
C03622-K1,3000027
C05704-K2,3000028
C05704-K2,3000029
C03218-K2,3000030
C09947-K1,3000031
C05704-K2,3000032
C08945-K2,3000033
C05283-K1,3000034
C09711-K1,3000035
C08945-K2,3000036
C11709-K2,3000037
C12942-K2,3000038
C08945-K2,3000039
C08662-K1,3000040
C11923-K2,3000041
C01109-K2,3000042
C09363-K2,3000043
C01525-K2,3000044
C01909-K2,3000045
C10906-K1,3000046
C12593-K1,3000047
C10193-K2,3000048
C12593-K1,3000049
C12961-K2,3000050
C03363-K2,3000051
C03218-K2,3000052
C02354-K2,3000053
C07648-K2,3000054
C10745-K1,3000055
C04108-K2,3000056
C11923-K2,3000057
C07870-K2,3000058
C08945-K2,3000059
C10333-K1,3000060
C13171-K2,3000061
C05283-K1,3000062
C02231-K1,3000063
C05362-K1,3000064
C09301-K2,3000065
C04960-K1,3000066
C03218-K2,3000067
C08945-K2,3000068
C11000-K2,3000069
C10679-K1,3000070
C01953-K2,3000071
C12961-K2,3000072
C04108-K2,3000073
C09221-K2,3000074
C12758-K1,3000075
C03218-K2,3000076
C08924-K1,3000077
C11923-K2,3000078
C11923-K2,3000079
C11625-K1,3000080
C04105-K2,3000081
C00750-K2,3000082
C09486-K1,3000083
C04597-K2,3000084
C09221-K2,3000085
C04108-K2,3000086
C04108-K2,3000087
C12517-K2,3000088
C05854-K1,3000089
C11709-K2,3000090
C01909-K2,3000091
C03230-K1,3000092
C11923-K2,3000093
C12136-K2,3000094
C06872-K2,3000095
C12517-K2,3000096
C06248-K1,3000097
C12961-K2,3000098
C12094-K2,3000099
C03218-K2,3000100
C04108-K2,3000101
C09363-K2,3000102
C04108-K2,3000103
C05312-K2,3000104
C08742-K1,3000105
C12961-K2,3000106
C04108-K2,3000107
C09276-K1,3000108
C12234-K1,3000109
