domain_name,total_transactions
yahoo.com,112832
gmail.com,285661
hotmail.com,72781
comcast.net,9700
anonymous.com,57572
live.com,3803
aol.com,32000
icloud.com,7671
msn.com,4954
outlook.com,7606
verizon.net,3325
mac.com,654
yahoo.com.mx,3053
sbcglobal.net,3527
earthlink.net,593
ymail.com,2603
bellsouth.net,2342
charter.net,943
live.com.mx,1503
cfl.rr.com,209
roadrunner.com,358
mail.com,681
rocketmail.com,735
att.net,4463
juno.com,375
cox.net,1852
frontiernet.net,209
me.com,2078
frontier.com,332
netzero.com,244
twc.com,259
aim.com,351
windstream.net,352
optonline.net,1198
outlook.es,871
yahoo.co.uk,88
gmail,593
hotmail.es,597
suddenlink.net,200
netzero.net,205
gmx.de,298
prodigy.net.mx,414
web.de,481
yahoo.fr,280
yahoo.de,149
embarqmail.com,329
q.com,214
servicios-ta.com,70
yahoo.es,191
centurylink.net,217
live.fr,111
hotmail.fr,588
cableone.net,186
scranton.edu,63
protonmail.com,117
sc.rr.com,172
ptd.net,95
hotmail.co.uk,217
hotmail.de,85
yahoo.co.jp,65
